picture_id,picture_title,genres,ratings,picture_logo
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.3706467662,"/media/Usual Suspects, The (1995)"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.637254902,/media/Mighty Aphrodite (1995)
53,Lamerica (1994),Adventure|Drama,5,/media/Lamerica (1994)
54,"Big Green, The (1995)",Children|Comedy,3.6666666667,"/media/Big Green, The (1995)"
55,Georgia (1995),Drama,3.3333333333,/media/Georgia (1995)
57,Home for the Holidays (1995),Drama,3.1428571429,/media/Home for the Holidays (1995)
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4,"/media/Postman, The (Postino, Il) (1994)"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,4,"/media/Confessional, The (Confessionnal, Le) (1995)"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,2.828125,"/media/Indian in the Cupboard, The (1995)"
61,Eye for an Eye (1996),Drama|Thriller,3.5714285714,/media/Eye for an Eye (1996)
62,Mr. Holland's Opus (1995),Drama,3.6896551724,/media/Mr. Holland's Opus (1995)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.8333333333,/media/Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,Two if by Sea (1996),Comedy|Romance,2.4,/media/Two if by Sea (1996)
65,Bio-Dome (1996),Comedy,2.025,/media/Bio-Dome (1996)
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2,/media/Lawnmower Man 2: Beyond Cyberspace (1996)
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.5,/media/French Twist (Gazon maudit) (1995)
69,Friday (1995),Comedy,3.8181818182,/media/Friday (1995)
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.0208333333,/media/From Dusk Till Dawn (1996)
71,Fair Game (1995),Action,2.4285714286,/media/Fair Game (1995)
72,Kicking and Screaming (1995),Comedy|Drama,3.1666666667,/media/Kicking and Screaming (1995)
73,"Misérables, Les (1995)",Drama|War,4.1153846154,"/media/Misérables, Les (1995)"
74,Bed of Roses (1996),Drama|Romance,3.0263157895,/media/Bed of Roses (1996)
76,Screamers (1995),Action|Sci-Fi|Thriller,3.3333333333,/media/Screamers (1995)
77,Nico Icon (1995),Documentary,4,/media/Nico Icon (1995)
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.2,"/media/Crossing Guard, The (1995)"
79,"Juror, The (1996)",Drama|Thriller,2.9615384615,"/media/Juror, The (1996)"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.625,"/media/White Balloon, The (Badkonake sefid) (1995)"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.25,/media/Things to Do in Denver When You're Dead (1995)
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.8,/media/Antonia's Line (Antonia) (1995)
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3,/media/Once Upon a Time... When We Were Colored (1995)
84,Last Summer in the Hamptons (1995),Comedy|Drama,4,/media/Last Summer in the Hamptons (1995)
85,Angels and Insects (1995),Drama|Romance,4.0625,/media/Angels and Insects (1995)
86,White Squall (1996),Action|Adventure|Drama,3.7647058824,/media/White Squall (1996)
87,Dunston Checks In (1996),Children|Comedy,1.6666666667,/media/Dunston Checks In (1996)
88,Black Sheep (1996),Comedy,2.8913043478,/media/Black Sheep (1996)
89,Nick of Time (1995),Action|Thriller,3.4411764706,/media/Nick of Time (1995)
92,Mary Reilly (1996),Drama|Horror|Thriller,3.5416666667,/media/Mary Reilly (1996)
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.2272727273,/media/Vampire in Brooklyn (1995)
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.5681818182,/media/Beautiful Girls (1996)
95,Broken Arrow (1996),Action|Adventure|Thriller,3.1774193548,/media/Broken Arrow (1996)
96,In the Bleak Midwinter (1995),Comedy|Drama,1,/media/In the Bleak Midwinter (1995)
97,"Hate (Haine, La) (1995)",Crime|Drama,3.875,"/media/Hate (Haine, La) (1995)"
98,Shopping (1994),Action|Thriller,3,/media/Shopping (1994)
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,2.75,/media/Heidi Fleiss: Hollywood Madam (1995)
100,City Hall (1996),Drama|Thriller,3.4285714286,/media/City Hall (1996)
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.8823529412,/media/Bottle Rocket (1996)
102,Mr. Wrong (1996),Comedy,2.5909090909,/media/Mr. Wrong (1996)
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,4,/media/Unforgettable (1996)
104,Happy Gilmore (1996),Comedy,3.2925531915,/media/Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)",Drama|Romance,3.1145833333,"/media/Bridges of Madison County, The (1995)"
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.462962963,/media/Muppet Treasure Island (1996)
108,Catwalk (1996),Documentary,4,/media/Catwalk (1996)
110,Braveheart (1995),Action|Drama|War,3.9451754386,/media/Braveheart (1995)
111,Taxi Driver (1976),Crime|Drama|Thriller,4.2245762712,/media/Taxi Driver (1976)
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.2959183673,/media/Rumble in the Bronx (Hont faan kui) (1995)
113,Before and After (1996),Drama|Mystery,3.2,/media/Before and After (1996)
114,Margaret's Museum (1995),Drama,3,/media/Margaret's Museum (1995)
116,Anne Frank Remembered (1995),Documentary,4.75,/media/Anne Frank Remembered (1995)
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3,"/media/Young Poisoner's Handbook, The (1995)"
118,If Lucy Fell (1996),Comedy|Romance,2.8,/media/If Lucy Fell (1996)
119,"Steal Big, Steal Little (1995)",Comedy,3,"/media/Steal Big, Steal Little (1995)"
121,"Boys of St. Vincent, The (1992)",Drama,3.8,"/media/Boys of St. Vincent, The (1992)"
122,Boomerang (1992),Comedy|Romance,3.0526315789,/media/Boomerang (1992)
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,4,/media/Chungking Express (Chung Hing sam lam) (1994)
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3,"/media/Star Maker, The (Uomo delle stelle, L') (1995)"
125,Flirting With Disaster (1996),Comedy,3.7142857143,/media/Flirting With Disaster (1996)
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.7,"/media/NeverEnding Story III, The (1994)"
129,Pie in the Sky (1996),Comedy|Romance,3,/media/Pie in the Sky (1996)
130,Angela (1995),Drama,4.5,/media/Angela (1995)
131,Frankie Starlight (1995),Drama|Romance,2,/media/Frankie Starlight (1995)
132,Jade (1995),Thriller,2.875,/media/Jade (1995)
135,Down Periscope (1996),Comedy,3,/media/Down Periscope (1996)
137,Man of the Year (1995),Documentary,1,/media/Man of the Year (1995)
140,Up Close and Personal (1996),Drama|Romance,3.4782608696,/media/Up Close and Personal (1996)
141,"Birdcage, The (1996)",Comedy,3.5806451613,"/media/Birdcage, The (1996)"
144,"Brothers McMullen, The (1995)",Comedy,3.3269230769,"/media/Brothers McMullen, The (1995)"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.2790697674,/media/Bad Boys (1995)
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,4.3333333333,"/media/Amazing Panda Adventure, The (1995)"
147,"Basketball Diaries, The (1995)",Drama,3.6428571429,"/media/Basketball Diaries, The (1995)"
148,"Awfully Big Adventure, An (1995)",Drama,4,"/media/Awfully Big Adventure, An (1995)"
149,Amateur (1994),Crime|Drama|Thriller,4.3333333333,/media/Amateur (1994)
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.9025,/media/Apollo 13 (1995)
151,Rob Roy (1995),Action|Drama|Romance|War,3.5625,/media/Rob Roy (1995)
152,"Addiction, The (1995)",Drama|Horror,3.8333333333,"/media/Addiction, The (1995)"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.7829457364,/media/Batman Forever (1995)
154,Beauty of the Day (Belle de jour) (1967),Drama,3.8125,/media/Beauty of the Day (Belle de jour) (1967)
155,Beyond Rangoon (1995),Adventure|Drama|War,3.0555555556,/media/Beyond Rangoon (1995)
156,Blue in the Face (1995),Comedy|Drama,3.9545454545,/media/Blue in the Face (1995)
157,Canadian Bacon (1995),Comedy|War,2.375,/media/Canadian Bacon (1995)
158,Casper (1995),Adventure|Children,2.8706896552,/media/Casper (1995)
159,Clockers (1995),Crime|Drama|Mystery,3.9375,/media/Clockers (1995)
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.3412698413,/media/Congo (1995)
161,Crimson Tide (1995),Drama|Thriller|War,3.83125,/media/Crimson Tide (1995)
162,Crumb (1994),Documentary,4.1363636364,/media/Crumb (1994)
163,Desperado (1995),Action|Romance|Western,3.5158730159,/media/Desperado (1995)
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.5576923077,/media/Devil in a Blue Dress (1995)
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,3.4436619718,/media/Die Hard: With a Vengeance (1995)
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,3,"/media/Doom Generation, The (1995)"
167,Feast of July (1995),Drama,4,/media/Feast of July (1995)
168,First Knight (1995),Action|Drama|Romance,3.1162790698,/media/First Knight (1995)
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,2.5625,/media/Free Willy 2: The Adventure Home (1995)
170,Hackers (1995),Action|Adventure|Crime|Thriller,3.2884615385,/media/Hackers (1995)
171,Jeffrey (1995),Comedy|Drama,4.3333333333,/media/Jeffrey (1995)
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,2.5729166667,/media/Johnny Mnemonic (1995)
173,Judge Dredd (1995),Action|Crime|Sci-Fi,2.5642857143,/media/Judge Dredd (1995)
174,Jury Duty (1995),Comedy,2.25,/media/Jury Duty (1995)
175,Kids (1995),Drama,3.9565217391,/media/Kids (1995)
176,Living in Oblivion (1995),Comedy,3.7777777778,/media/Living in Oblivion (1995)
177,Lord of Illusions (1995),Horror,2.8846153846,/media/Lord of Illusions (1995)
178,Love & Human Remains (1993),Comedy|Drama,4.7,/media/Love & Human Remains (1993)
179,Mad Love (1995),Drama|Romance,3.5,/media/Mad Love (1995)
180,Mallrats (1995),Comedy|Romance,3.3068181818,/media/Mallrats (1995)
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1.8,/media/Mighty Morphin Power Rangers: The Movie (1995)
183,Mute Witness (1994),Comedy|Horror|Thriller,5,/media/Mute Witness (1994)
184,Nadja (1994),Drama,4.5,/media/Nadja (1994)
185,"Net, The (1995)",Action|Crime|Thriller,3.1029411765,"/media/Net, The (1995)"
186,Nine Months (1995),Comedy|Romance,2.875,/media/Nine Months (1995)
187,Party Girl (1995),Comedy,2.8333333333,/media/Party Girl (1995)
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,3.125,"/media/Prophecy, The (1995)"
189,Reckless (1995),Comedy|Fantasy,4,/media/Reckless (1995)
190,Safe (1995),Thriller,3.8333333333,/media/Safe (1995)
191,"Scarlet Letter, The (1995)",Drama|Romance,3,"/media/Scarlet Letter, The (1995)"
193,Showgirls (1995),Drama,2.3142857143,/media/Showgirls (1995)
194,Smoke (1995),Comedy|Drama,4.2916666667,/media/Smoke (1995)
195,Something to Talk About (1995),Comedy|Drama|Romance,3.2142857143,/media/Something to Talk About (1995)
196,Species (1995),Horror|Sci-Fi,2.8090909091,/media/Species (1995)
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.4418604651,/media/Strange Days (1995)
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,3.3333333333,"/media/Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
200,"Tie That Binds, The (1995)",Thriller,4,"/media/Tie That Binds, The (1995)"
201,Three Wishes (1995),Drama|Fantasy,4,/media/Three Wishes (1995)
202,Total Eclipse (1995),Drama|Romance,3,/media/Total Eclipse (1995)
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.3043478261,"/media/To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,Under Siege 2: Dark Territory (1995),Action,3,/media/Under Siege 2: Dark Territory (1995)
205,Unstrung Heroes (1995),Comedy|Drama,4,/media/Unstrung Heroes (1995)
206,Unzipped (1995),Documentary,3.6,/media/Unzipped (1995)
207,"Walk in the Clouds, A (1995)",Drama|Romance,3.375,"/media/Walk in the Clouds, A (1995)"
208,Waterworld (1995),Action|Adventure|Sci-Fi,2.7522123894,/media/Waterworld (1995)
209,White Man's Burden (1995),Drama,2.6,/media/White Man's Burden (1995)
211,"Browning Version, The (1994)",Drama,3.3333333333,"/media/Browning Version, The (1994)"
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,4.2222222222,/media/Burnt by the Sun (Utomlyonnye solntsem) (1994)
214,Before the Rain (Pred dozhdot) (1994),Drama|War,3,/media/Before the Rain (Pred dozhdot) (1994)
215,Before Sunrise (1995),Drama|Romance,3.7222222222,/media/Before Sunrise (1995)
216,Billy Madison (1995),Comedy,3.0238095238,/media/Billy Madison (1995)
217,"Babysitter, The (1995)",Drama|Thriller,2.7142857143,"/media/Babysitter, The (1995)"
218,Boys on the Side (1995),Comedy|Drama,3.3333333333,/media/Boys on the Side (1995)
219,"Cure, The (1995)",Drama,4.25,"/media/Cure, The (1995)"
220,Castle Freak (1995),Horror,3,/media/Castle Freak (1995)
222,Circle of Friends (1995),Drama|Romance,3.9318181818,/media/Circle of Friends (1995)
223,Clerks (1994),Comedy,3.9633027523,/media/Clerks (1994)
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,3.6,/media/Don Juan DeMarco (1995)
225,Disclosure (1994),Drama|Thriller,3.1730769231,/media/Disclosure (1994)
227,Drop Zone (1994),Action|Thriller,3.15625,/media/Drop Zone (1994)
228,Destiny Turns on the Radio (1995),Comedy,2,/media/Destiny Turns on the Radio (1995)
229,Death and the Maiden (1994),Drama|Thriller,4.0833333333,/media/Death and the Maiden (1994)
230,Dolores Claiborne (1995),Drama|Thriller,3.7,/media/Dolores Claiborne (1995)
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,3.1107594937,/media/Dumb & Dumber (Dumb and Dumber) (1994)
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,4.2083333333,/media/Eat Drink Man Woman (Yin shi nan nu) (1994)
233,Exotica (1994),Drama,4.2692307692,/media/Exotica (1994)
234,Exit to Eden (1994),Comedy,2.75,/media/Exit to Eden (1994)
235,Ed Wood (1994),Comedy|Drama,3.9038461538,/media/Ed Wood (1994)
236,French Kiss (1995),Action|Comedy|Romance,3.3583333333,/media/French Kiss (1995)
237,Forget Paris (1995),Comedy|Romance,3.1911764706,/media/Forget Paris (1995)
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,3,/media/Far From Home: The Adventures of Yellow Dog (1995)
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,2.9333333333,"/media/Goofy Movie, A (1995)"
240,Hideaway (1995),Thriller,3.4,/media/Hideaway (1995)
241,Fluke (1995),Children|Drama,3.5,/media/Fluke (1995)
242,Farinelli: il castrato (1994),Drama|Musical,3.75,/media/Farinelli: il castrato (1994)
243,Gordy (1995),Children|Comedy|Fantasy,4,/media/Gordy (1995)
244,Gumby: The Movie (1995),Animation|Children,3,/media/Gumby: The Movie (1995)
245,The Glass Shield (1994),Crime|Drama,3,/media/The Glass Shield (1994)
246,Hoop Dreams (1994),Documentary,4.0409836066,/media/Hoop Dreams (1994)
247,Heavenly Creatures (1994),Crime|Drama,3.6511627907,/media/Heavenly Creatures (1994)
248,Houseguest (1994),Comedy,3.1538461538,/media/Houseguest (1994)
249,Immortal Beloved (1994),Drama|Romance,3.375,/media/Immortal Beloved (1994)
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,3.25,/media/Heavyweights (Heavy Weights) (1995)
251,"Hunted, The (1995)",Action,3,"/media/Hunted, The (1995)"
252,I.Q. (1994),Comedy|Romance,3.0609756098,/media/I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,3.396,/media/Interview with the Vampire: The Vampire Chronicles (1994)
254,Jefferson in Paris (1995),Drama,3,/media/Jefferson in Paris (1995)
255,"Jerky Boys, The (1995)",Comedy,2.2,"/media/Jerky Boys, The (1995)"
256,Junior (1994),Comedy|Sci-Fi,2.7023809524,/media/Junior (1994)
257,Just Cause (1995),Mystery|Thriller,3.5769230769,/media/Just Cause (1995)
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,2.5,"/media/Kid in King Arthur's Court, A (1995)"
259,Kiss of Death (1995),Crime|Drama|Thriller,3.7,/media/Kiss of Death (1995)
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.2216494845,/media/Star Wars: Episode IV - A New Hope (1977)
261,Little Women (1994),Drama,3.7156862745,/media/Little Women (1994)
262,"Little Princess, A (1995)",Children|Drama,3.85,"/media/Little Princess, A (1995)"
263,Ladybird Ladybird (1994),Drama,3,/media/Ladybird Ladybird (1994)
264,"Enfer, L' (1994)",Drama,4.5,"/media/Enfer, L' (1994)"
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,3.8790322581,/media/Like Water for Chocolate (Como agua para chocolate) (1992)
266,Legends of the Fall (1994),Drama|Romance|War|Western,3.4863013699,/media/Legends of the Fall (1994)
267,Major Payne (1995),Comedy,2.7307692308,/media/Major Payne (1995)
268,Little Odessa (1994),Crime|Drama,4.25,/media/Little Odessa (1994)
269,My Crazy Life (Mi vida loca) (1993),Drama,3.6666666667,/media/My Crazy Life (Mi vida loca) (1993)
270,Love Affair (1994),Drama|Romance,3.2222222222,/media/Love Affair (1994)
271,Losing Isaiah (1995),Drama,3.5,/media/Losing Isaiah (1995)
272,"Madness of King George, The (1994)",Comedy|Drama,4,"/media/Madness of King George, The (1994)"
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3.1296296296,/media/Mary Shelley's Frankenstein (Frankenstein) (1994)
274,Man of the House (1995),Comedy,2.6666666667,/media/Man of the House (1995)
275,Mixed Nuts (1994),Comedy,2.8,/media/Mixed Nuts (1994)
276,Milk Money (1994),Comedy|Romance,2.8636363636,/media/Milk Money (1994)
277,Miracle on 34th Street (1994),Drama,3.3571428571,/media/Miracle on 34th Street (1994)
278,Miami Rhapsody (1995),Comedy,3,/media/Miami Rhapsody (1995)
279,My Family (1995),Drama,2.875,/media/My Family (1995)
280,Murder in the First (1995),Drama|Thriller,4.1136363636,/media/Murder in the First (1995)
281,Nobody's Fool (1994),Comedy|Drama|Romance,3.8611111111,/media/Nobody's Fool (1994)
282,Nell (1994),Drama,3.2840909091,/media/Nell (1994)
283,New Jersey Drive (1995),Crime|Drama,3,/media/New Jersey Drive (1995)
285,Beyond Bedlam (1993),Drama|Horror,4,/media/Beyond Bedlam (1993)
287,Nina Takes a Lover (1994),Comedy|Romance,3.2,/media/Nina Takes a Lover (1994)
288,Natural Born Killers (1994),Action|Crime|Thriller,3.3364485981,/media/Natural Born Killers (1994)
289,Only You (1994),Comedy|Romance,3.4642857143,/media/Only You (1994)
290,Once Were Warriors (1994),Crime|Drama,3.9375,/media/Once Were Warriors (1994)
291,Poison Ivy II (1996),Drama|Thriller,2,/media/Poison Ivy II (1996)
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,3.3090909091,/media/Outbreak (1995)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.071969697,/media/Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
294,"Perez Family, The (1995)",Comedy|Romance,3.3333333333,"/media/Perez Family, The (1995)"
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,3,"/media/Pyromaniac's Love Story, A (1995)"
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.2561728395,/media/Pulp Fiction (1994)
299,Priest (1994),Drama,3.75,/media/Priest (1994)
300,Quiz Show (1994),Drama,3.75,/media/Quiz Show (1994)
301,Picture Bride (Bijo photo) (1994),Drama|Romance,5,/media/Picture Bride (Bijo photo) (1994)
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,3.7142857143,"/media/Queen Margot (Reine Margot, La) (1994)"
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,3.1875,"/media/Quick and the Dead, The (1995)"
304,Roommates (1995),Comedy|Drama,3.3333333333,/media/Roommates (1995)
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,2.75,/media/Ready to Wear (Pret-A-Porter) (1994)
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,4.171875,/media/Three Colors: Red (Trois couleurs: Rouge) (1994)
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,4.1451612903,/media/Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,4.1590909091,/media/Three Colors: White (Trzy kolory: Bialy) (1994)
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,5,"/media/Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
312,Stuart Saves His Family (1995),Comedy,3.6,/media/Stuart Saves His Family (1995)
313,"Swan Princess, The (1994)",Animation|Children,2.7142857143,"/media/Swan Princess, The (1994)"
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,3.9411764706,"/media/Secret of Roan Inish, The (1994)"
315,"Specialist, The (1994)",Action|Drama|Thriller,2.9090909091,"/media/Specialist, The (1994)"
316,Stargate (1994),Action|Adventure|Sci-Fi,3.3689655172,/media/Stargate (1994)
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,2.9642857143,"/media/Santa Clause, The (1994)"
318,"Shawshank Redemption, The (1994)",Crime|Drama,4.4871382637,"/media/Shawshank Redemption, The (1994)"
319,Shallow Grave (1994),Comedy|Drama|Thriller,3.9736842105,/media/Shallow Grave (1994)
320,Suture (1993),Film-Noir|Thriller,2.75,/media/Suture (1993)
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3.6428571429,/media/Strawberry and Chocolate (Fresa y chocolate) (1993)
322,Swimming with Sharks (1995),Comedy|Drama,3.6428571429,/media/Swimming with Sharks (1995)
324,"Sum of Us, The (1994)",Comedy|Drama,3.3333333333,"/media/Sum of Us, The (1994)"
325,National Lampoon's Senior Trip (1995),Comedy,3,/media/National Lampoon's Senior Trip (1995)
326,To Live (Huozhe) (1994),Drama,4.0714285714,/media/To Live (Huozhe) (1994)
327,Tank Girl (1995),Action|Comedy|Sci-Fi,2.75,/media/Tank Girl (1995)
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,3.625,/media/Tales from the Crypt Presents: Demon Knight (1995)
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,3.350877193,/media/Star Trek: Generations (1994)
330,Tales from the Hood (1995),Action|Crime|Horror,2.7,/media/Tales from the Hood (1995)
331,Tom & Viv (1994),Drama,3,/media/Tom & Viv (1994)
